ok  	github.com/Autumn-27/norma/agentcore	0.035s
?   	github.com/Autumn-27/norma/compaction	[no test files]
ok  	github.com/Autumn-27/norma/harness	0.236s
?   	github.com/Autumn-27/norma/hook	[no test files]
ok  	github.com/Autumn-27/norma/llm	2.533s
?   	github.com/Autumn-27/norma/mcp	[no test files]
?   	github.com/Autumn-27/norma/memory	[no test files]
ok  	github.com/Autumn-27/norma/noa	0.159s
ok  	github.com/Autumn-27/norma/noaadapter	26.483s
?   	github.com/Autumn-27/norma/permission	[no test files]
?   	github.com/Autumn-27/norma/plan	[no test files]
?   	github.com/Autumn-27/norma/skill	[no test files]
ok  	github.com/Autumn-27/norma/tool	0.048s
?   	github.com/Autumn-27/norma/transcript	[no test files]
